"Part";"Value";"Device";"Package";"Description";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SUPPLIER";
"R10";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R11";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R12";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R13";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R14";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R15";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R16";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R17";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R18";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R19";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R20";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R21";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R22";"TBD";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"ROBID";"4-POS-DIP";"4-POS-DIP";"4-POS-DIP-SMD";"4 Position DIP Switch";"";"";"";"";"SWCH-12418";"";
"RX";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";
"S1";"SWITCH-MOMENTARY-2SMD-4";"SWITCH-MOMENTARY-2SMD-4";"TACTILE_SWITCH_TALL";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";"SWCH-11966";"";
"S2";"SWITCH-MOMENTARY-2SMD-4";"SWITCH-MOMENTARY-2SMD-4";"TACTILE_SWITCH_TALL";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";"SWCH-11966";"";
"SPARE_HEADER";"M10LOCK";"M10LOCK";"1X10_LOCK";"Header 10";"";"";"";"";"";"";
"SPI_HEADER";"M10LOCK";"M10LOCK";"1X10_LOCK";"Header 10";"";"";"";"";"";"";
"TSENSE";"MCP9700SMD";"MCP9700SMD";"SOT23-3";"Analog-output temperature sensor";"";"";"";"";"IC-08917";"";
"TX";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";
"U1";"ATMEGA165PV-8AU";"ATMEGA165PV-8AU";"QFP80P1600X1600X120-64N";"8-bit Microcontroller with 16K Bytes In-System Programmable Flash";"ATMEGA165PV-8AU";"1455104";"58M3730";"TQFP-64";"";"Atmel";
"XBEE";"XBEE-1B1";"XBEE-1B1";"XBEE-1";"Xbee module footprints";"";"";"";"";"";"";
