"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SUPPLIER";"VALUE";
"R14";"1M";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R15";"10K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R16";"20k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R17";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R18";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R19";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R20";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R21";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R22";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R24";"536k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R25";"100";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R26";"100";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R27";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R28";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R29";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R30";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R31";"43k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R35";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"RBG";"2.49k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"RSENSE";"10m";"RESISTOR2512";"R2512";"Resistor";"";"";"";"";"";"";"";"";
"RVOUT";"50.4k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"S1";"SWITCH-MOMENTARY-2SMD-4";"SWITCH-MOMENTARY-2SMD-4";"TACTILE_SWITCH_TALL";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";"";"SWCH-11966";"";"";
"SPARE_HEADER";"M10SILK_FEMALE_PTH";"M10SILK_FEMALE_PTH";"1X10";"Header 10";"";"";"";"";"";"CONN-11563";"";"";
"SPI_HEADER";"M10SILK_FEMALE_PTH";"M10SILK_FEMALE_PTH";"1X10";"Header 10";"";"";"";"";"";"CONN-11563";"";"";
"SWITCH_Q";"";"N-MOSFETDPAK";"DPAK";"N-Channel Power Mosfet";"";"";"";"";"";"";"";"";
"TMP";"0";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"U$1";"32052-TRANSFORMER";"32052-TRANSFORMER";"10-TRANSFORMER";"32052 flyback transformer";"";"";"";"";"";"";"";"";
"U2";"ATMEGA165PV-8AU";"ATMEGA165PV-8AU";"QFP80P1600X1600X120-64N";"8-bit Microcontroller with 16K Bytes In-System Programmable Flash";"";"ATMEGA165PV-8AU";"1455104";"58M3730";"TQFP-64";"";"Atmel";"";
